Palabra	(Archivo, Cantidad)
missouri	(5,2)
arkansas	(5,2)
1820	(5,3)
kansas	(5,2)
indian	(5,2)
euro-american	(5,1)
statess	(5,1)
policy	(5,1)
federal	(5,1)
treaties	(5,4)
1854	(5,2)
merged	(5,1)
remnant	(5,1)
confederacy	(5,1)
confederated	(5,2)
1873	(5,1)
village	(5,3)
chicago	(5,2)
kenapacomaqua	(5,1)
marker	(5,4)
site	(5,2)
kethtippecahnunk	(5,1)
sugar	(5,2)
creek	(5,2)
village/reserve	(5,1)
weauteno	(5,1)
/	(5,1)
jaccos	(5,1)
towne	(5,1)
fairbanks	(5,1)
village/town	(5,1)
vincennes	(5,6)
reserve	(5,1)
parke	(5,1)
county	(5,3)
danville	(5,1)
paola	(5,1)
kansasin	(5,1)
bureau	(5,1)
commemorates	(5,1)
jacco	(5,1)
godfroy	(5,1)
greenville	(5,1)
aug	(5,4)
1795	(5,1)
wayne	(5,2)
1803	(5,2)
grouseland	(5,1)
1805	(5,2)
dec	(5,1)
sept	(5,3)
1809	(5,2)
oct	(5,3)
harrison	(5,1)
1816	(5,1)
jan	(5,1)
st	(5,4)
marys	(5,3)
ceded	(5,2)
reservation	(5,1)
michigan	(5,2)
211826	(5,1)
1828	(5,1)
1832	(5,2)
omnibus	(5,1)
1867some	(5,1)
article	(5,2)
contemplated	(5,1)
agreed	(5,1)
annuity	(5,1)
secured	(5,1)
mentioned	(5,1)
shall	(5,1)
hereafter	(5,1)
illinoistreaty	(5,1)
castor	(5,1)
afford	(5,1)
assistance	(5,1)
residing	(5,1)
enable	(5,1)
hereby	(5,1)
eater	(5,1)
18th-century	(5,1)
callender	(5,1)
handbook	(5,1)
raymond	(5,1)
d	(5,1)
fogelson	(5,1)
ed	(5,1)
washington	(5,1)
dc	(5,1)
smithsonian	(5,1)
institution	(5,1)
681???89	(5,1)
